chain,n,beta_max,epsilon,algorithm,sample_complexity,TPAsteps,true_Q,estimate_Q,error
Ising,2,0.0,0.0025,Kolmogorov,5185906208,437264,1.1931465266106402,,
Ising,2,0.0,0.0025,parallelGibbs,5692594,173626,1.1931465266106402,1.193069592892071,-6.44796903427336e-05
Ising,2,0.0,0.0025,superGibbs,3055967,173626,1.1931465266106402,1.1931367444608676,-8.19861563894353e-06
Ising,2,0.0,0.001,Kolmogorov,35597815170,481398,1.1931465266106402,,
Ising,2,0.0,0.001,parallelGibbs,16052749,173626,1.1931465266106402,1.1931260606632834,-1.7152920366747537e-05
Ising,2,0.0,0.001,superGibbs,8322151,173626,1.1931465266106402,1.1930133056796923,-0.0001116551303437241
Ising,2,0.0,0.0005,Kolmogorov,152018461720,514732,1.1931465266106402,,
Ising,2,0.0,0.0005,parallelGibbs,39812992,173626,1.1931465266106402,1.1930723091104263,-6.220317333927028e-05
Ising,2,0.0,0.0005,superGibbs,18474678,173626,1.1931465266106402,1.193105562951448,-3.433246317918748e-05
Ising,4,0.0,0.25,Kolmogorov,14346558,5711958,1.3382330022079454,,
Ising,4,0.0,0.25,parallelGibbs,5411751,5195535,1.3382330022079454,1.296930086665772,-0.030863769966835264
Ising,4,0.0,0.25,superGibbs,5252115,5195535,1.3382330022079454,1.2969300866657718,-0.030863769966835375
Ising,4,0.0,0.1,Kolmogorov,55944420,6292356,1.3382330022079454,,
Ising,4,0.0,0.1,parallelGibbs,6627735,5195535,1.3382330022079454,1.3371719380394647,-0.0007928844728309903
Ising,4,0.0,0.1,superGibbs,5746575,5195535,1.3382330022079454,1.2969300866657718,-0.030863769966835375
Ising,4,0.0,0.075,Kolmogorov,94942035,6612937,1.3382330022079454,,
Ising,4,0.0,0.075,parallelGibbs,7756863,5195535,1.3382330022079454,1.3370883207017734,-0.0008553678651500585
Ising,4,0.0,0.075,superGibbs,6307455,5195535,1.3382330022079454,1.3382498832476624,1.2614424908852229e-05
Ising,4,0.0,0.05,Kolmogorov,208277784,7041420,1.3382330022079454,,
Ising,4,0.0,0.05,parallelGibbs,10875055,5195535,1.3382330022079454,1.3370370007198904,-0.0008937169282791091
Ising,4,0.0,0.05,superGibbs,7672755,5195535,1.3382330022079454,1.3381224685618298,-8.259671218180387e-05
Ising,4,0.0,0.025,Kolmogorov,847036577,7474493,1.3382330022079454,,
Ising,4,0.0,0.025,parallelGibbs,20862879,5195535,1.3382330022079454,1.337177391267659,-0.0007888095261024963
Ising,4,0.0,0.025,superGibbs,15201585,5195535,1.3382330022079454,1.3381782592746692,-4.090687734192855e-05
Ising,4,0.0,0.01,Kolmogorov,7077037200,8310204,1.3382330022079454,,
Ising,4,0.0,0.01,parallelGibbs,45535835,5195535,1.3382330022079454,1.3378331693810124,-0.00029877669006317387
Ising,4,0.0,0.01,superGibbs,31043985,5195535,1.3382330022079454,1.338215179234784,-1.3318288468400219e-05
Ising,4,0.0,0.0075,Kolmogorov,12894345528,8686536,1.3382330022079454,,
Ising,4,0.0,0.0075,parallelGibbs,59504867,5195535,1.3382330022079454,1.3381890214838748,-3.286477317332448e-05
Ising,4,0.0,0.0075,superGibbs,39967635,5195535,1.3382330022079454,1.3382652350659139,2.408613291948747e-05
Ising,4,0.0,0.005,Kolmogorov,24045624312,9116496,1.3382330022079454,,
Ising,4,0.0,0.005,parallelGibbs,87977003,5195535,1.3382330022079454,1.3382499972987683,1.2699650057124146e-05
Ising,4,0.0,0.005,superGibbs,57946545,5195535,1.3382330022079454,1.338215909304408,-1.2772741001976229e-05
Ising,6,0.0,0.25,Kolmogorov,55220401,26803441,1.45519152284e-09,,
Ising,6,0.0,0.25,parallelGibbs,23843754,23799054,1.45519152284e-09,1.0639623447280335,731149354.9635156
Ising,6,0.0,0.25,superGibbs,23824100,23799054,1.45519152284e-09,1.0639623447280335,731149354.9635156
Ising,6,0.0,0.1,Kolmogorov,133582887,28524087,1.45519152284e-09,,
Ising,6,0.0,0.1,parallelGibbs,23931366,23799054,1.45519152284e-09,1.0639623447280335,731149354.9635156
Ising,6,0.0,0.1,superGibbs,23849146,23799054,1.45519152284e-09,1.0639623447280335,731149354.9635156
Ising,6,0.0,0.075,Kolmogorov,214109892,29367854,1.45519152284e-09,,
Ising,6,0.0,0.075,parallelGibbs,24036858,23799054,1.45519152284e-09,1.0639623447280335,731149354.9635156
Ising,6,0.0,0.075,superGibbs,23863458,23799054,1.45519152284e-09,1.0639623447280335,731149354.9635156
Ising,6,0.0,0.05,Kolmogorov,444928650,30105738,1.45519152284e-09,,
Ising,6,0.0,0.05,parallelGibbs,24321150,23799054,1.45519152284e-09,1.0639623447280335,731149354.9635156
Ising,6,0.0,0.05,superGibbs,23924284,23799054,1.45519152284e-09,1.0639623447280335,731149354.9635156
Ising,6,0.0,0.025,Kolmogorov,1724550464,32036024,1.45519152284e-09,,
Ising,6,0.0,0.025,parallelGibbs,26042994,23799054,1.45519152284e-09,1.0676659955252426,733694484.4114805
Ising,6,0.0,0.025,superGibbs,24450250,23799054,1.45519152284e-09,1.0639623447280335,731149354.9635156
Ising,6,0.0,0.01,Kolmogorov,11142034588,35032672,1.45519152284e-09,,
Ising,6,0.0,0.01,parallelGibbs,36996282,23799054,1.45519152284e-09,1.0693116499896542,734825369.5483043
Ising,6,0.0,0.01,superGibbs,28525592,23799054,1.45519152284e-09,1.0693181171242585,734829813.7293643
Ising,6,0.0,0.0075,Kolmogorov,20132079510,34984878,1.45519152284e-09,,
Ising,6,0.0,0.0075,parallelGibbs,42687486,23799054,1.45519152284e-09,1.0693402698431365,734845036.96186
Ising,6,0.0,0.0075,superGibbs,32368364,23799054,1.45519152284e-09,1.069354428926151,734854767.009618
Ising,6,0.0,0.005,Kolmogorov,46432685428,36170596,1.45519152284e-09,,
Ising,6,0.0,0.005,parallelGibbs,55607574,23799054,1.45519152284e-09,1.0693269077363539,734835854.591998
Ising,6,0.0,0.005,superGibbs,41316942,23799054,1.45519152284e-09,1.0693273993079357,734836192.3974168
